Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
131,59 ZARE,168.775,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
132,60 ZARE,168.8,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
133,61 ZARE,168.825,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
134,62 ZARE,168.85,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
135,63 ZARE,168.875,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
136,64 ZARE,168.9,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
137,65 ZARE,168.925,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
138,66 ZARE,169,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
139,67 ZARE,169.025,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
140,68 ZARE,169.05,off,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
141,CELJE UHF,438.95,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
142,BOC UHF,438.825,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
143,MIRNA GORA UHF,438.6,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
144,Slemene UHF,438.625,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
145,KRVAVEC UHF,438.675,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
146,GRMADA UHF,438.7,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
147,BREZICE UHF,438.725,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
148,RADENCI UHF,438.725,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
149,Trstelj UHF,438.75,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
150,Krim UHF,438.775,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
151,Beli Kriz UHF,438.8,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
152,PECNA REBER UHF,438.825,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
153,JANCE UHF,438.875,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
154,Korada UHF,438.875,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
